"Dataset","Graph","R2","Mode"
"Entire Dataset 572","Height vs. Diameter",0.895,"Double Linear"
"Entire Dataset 572","Height vs. Thickness",0.002,"Double Log"
"Entire Dataset 572","Height vs. Thickness",0,"Double Linear"
"Entire Dataset 572","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 572","Diameter vs. Thickness",0.001,"Double Linear"
"Entire Dataset 572","Diameter / Width vs. Dry Weight",0.014,"Double Log"
"Entire Dataset 572","Diameter / Width vs. Dry Weight",0.016,"Double Linear"
"Entire Dataset 580","Width vs. Fresh Weight",0.413,"Double Log"
"Entire Dataset 580","Width vs. Fresh Weight",0.397,"Double Linear"
"Entire Dataset 580","Height vs. Fresh Weight",0.257,"Double Log"
"Entire Dataset 580","Height vs. Fresh Weight",0.26,"Double Linear"
"Entire Dataset 580","Diameter vs. Fresh Weight",0.325,"Double Log"
"Entire Dataset 580","Diameter vs. Fresh Weight",0.311,"Double Linear"
"Entire Dataset 580","Thickness vs. Fresh Weight",0.23,"Double Log"
"Entire Dataset 580","Thickness vs. Fresh Weight",0.256,"Double Linear"
"Entire Dataset 580","Diameter / Width vs. Fresh Weight",0.005,"Double Log"
"Entire Dataset 580","Diameter / Width vs. Fresh Weight",0.004,"Double Linear"
"Entire Dataset 580","Width vs. Height",0.053,"Double Log"
"Entire Dataset 580","Width vs. Height",0.053,"Double Linear"
"Entire Dataset 580","Width vs. Diameter",0.14,"Double Log"
"Entire Dataset 580","Width vs. Diameter",0.123,"Double Linear"
"Entire Dataset 580","Width vs. Thickness",0.009,"Double Log"
"Entire Dataset 580","Width vs. Thickness",0.013,"Double Linear"
"Entire Dataset 580","Height vs. Diameter",0.522,"Double Log"
"Entire Dataset 580","Height vs. Diameter",0.551,"Double Linear"
"Entire Dataset 580","Height vs. Thickness",0.066,"Double Log"
"Entire Dataset 580","Height vs. Thickness",0.06,"Double Linear"
"Entire Dataset 580","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 580","Diameter vs. Thickness",0,"Double Linear"
"Entire Dataset 580","Diameter / Width vs. Dry Weight",0.022,"Double Log"
"Entire Dataset 580","Diameter / Width vs. Dry Weight",0.019,"Double Linear"
"Entire Dataset 582","Width vs. Fresh Weight",0.795,"Double Log"
"Entire Dataset 582","Width vs. Fresh Weight",0.777,"Double Linear"
"Entire Dataset 582","Height vs. Fresh Weight",0.498,"Double Log"
"Entire Dataset 582","Height vs. Fresh Weight",0.438,"Double Linear"
"Entire Dataset 582","Diameter vs. Fresh Weight",0.741,"Double Log"
"Entire Dataset 582","Diameter vs. Fresh Weight",0.669,"Double Linear"
"Entire Dataset 582","Thickness vs. Fresh Weight",0.326,"Double Log"
"Entire Dataset 582","Thickness vs. Fresh Weight",0.349,"Double Linear"
"Entire Dataset 582","Diameter / Width vs. Fresh Weight",0.097,"Double Log"
"Entire Dataset 582","Diameter / Width vs. Fresh Weight",0.137,"Double Linear"
"Entire Dataset 582","Width vs. Height",0.383,"Double Log"
"Entire Dataset 582","Width vs. Height",0.354,"Double Linear"
"Entire Dataset 582","Width vs. Diameter",0.586,"Double Log"
"Entire Dataset 582","Width vs. Diameter",0.569,"Double Linear"
"Entire Dataset 582","Width vs. Thickness",0.167,"Double Log"
"Entire Dataset 582","Width vs. Thickness",0.172,"Double Linear"
"Entire Dataset 582","Height vs. Diameter",0.716,"Double Log"
"Entire Dataset 582","Height vs. Diameter",0.694,"Double Linear"
"Entire Dataset 582","Height vs. Thickness",0.062,"Double Log"
"Entire Dataset 582","Height vs. Thickness",0.066,"Double Linear"
"Entire Dataset 582","Diameter vs. Thickness",0.128,"Double Log"
"Entire Dataset 582","Diameter vs. Thickness",0.137,"Double Linear"
"Entire Dataset 582","Diameter / Width vs. Dry Weight",0.077,"Double Log"
"Entire Dataset 582","Diameter / Width vs. Dry Weight",0.103,"Double Linear"
"Entire Dataset 584","Width vs. Fresh Weight",0.692,"Double Log"
"Entire Dataset 584","Width vs. Fresh Weight",0.743,"Double Linear"
"Entire Dataset 584","Height vs. Fresh Weight",0.776,"Double Log"
"Entire Dataset 584","Height vs. Fresh Weight",0.753,"Double Linear"
"Entire Dataset 584","Diameter vs. Fresh Weight",0.892,"Double Log"
"Entire Dataset 584","Diameter vs. Fresh Weight",0.893,"Double Linear"
"Entire Dataset 584","Thickness vs. Fresh Weight",0.092,"Double Log"
"Entire Dataset 584","Thickness vs. Fresh Weight",0.045,"Double Linear"
"Entire Dataset 584","Diameter / Width vs. Fresh Weight",0.025,"Double Log"
"Entire Dataset 584","Diameter / Width vs. Fresh Weight",0.011,"Double Linear"
"Entire Dataset 584","Width vs. Height",0.48,"Double Log"
"Entire Dataset 584","Width vs. Height",0.489,"Double Linear"
"Entire Dataset 584","Width vs. Diameter",0.648,"Double Log"
"Entire Dataset 584","Width vs. Diameter",0.659,"Double Linear"
"Entire Dataset 584","Width vs. Thickness",0,"Double Log"
"Entire Dataset 584","Width vs. Thickness",0.001,"Double Linear"
"Entire Dataset 584","Height vs. Diameter",0.922,"Double Log"
"Entire Dataset 584","Height vs. Diameter",0.924,"Double Linear"
"Entire Dataset 584","Height vs. Thickness",0.003,"Double Log"
"Entire Dataset 584","Height vs. Thickness",0.001,"Double Linear"
"Entire Dataset 584","Diameter vs. Thickness",0.005,"Double Log"
"Entire Dataset 584","Diameter vs. Thickness",0.001,"Double Linear"
"Entire Dataset 584","Diameter / Width vs. Dry Weight",0,"Double Log"
"Entire Dataset 584","Diameter / Width vs. Dry Weight",0.014,"Double Linear"
"Entire Dataset 585","Width vs. Fresh Weight",0.6,"Double Log"
"Entire Dataset 585","Width vs. Fresh Weight",0.597,"Double Linear"
"Entire Dataset 585","Height vs. Fresh Weight",0.515,"Double Log"
"Entire Dataset 585","Height vs. Fresh Weight",0.551,"Double Linear"
"Entire Dataset 585","Diameter vs. Fresh Weight",0.701,"Double Log"
"Entire Dataset 585","Diameter vs. Fresh Weight",0.727,"Double Linear"
"Entire Dataset 585","Thickness vs. Fresh Weight",0.473,"Double Log"
"Entire Dataset 585","Thickness vs. Fresh Weight",0.404,"Double Linear"
"Entire Dataset 585","Diameter / Width vs. Fresh Weight",0.005,"Double Log"
"Entire Dataset 585","Diameter / Width vs. Fresh Weight",0.004,"Double Linear"
"Entire Dataset 585","Width vs. Height",0.61,"Double Log"
"Entire Dataset 585","Width vs. Height",0.592,"Double Linear"
"Entire Dataset 585","Width vs. Diameter",0.635,"Double Log"
"Entire Dataset 585","Width vs. Diameter",0.623,"Double Linear"
"Entire Dataset 585","Width vs. Thickness",0.103,"Double Log"
"Entire Dataset 585","Width vs. Thickness",0.085,"Double Linear"
"Entire Dataset 585","Height vs. Diameter",0.879,"Double Log"
"Entire Dataset 585","Height vs. Diameter",0.875,"Double Linear"
"Entire Dataset 585","Height vs. Thickness",0.008,"Double Log"
"Entire Dataset 585","Height vs. Thickness",0.008,"Double Linear"
"Entire Dataset 585","Diameter vs. Thickness",0.079,"Double Log"
"Entire Dataset 585","Diameter vs. Thickness",0.073,"Double Linear"
"Entire Dataset 585","Diameter / Width vs. Dry Weight",0.03,"Double Log"
"Entire Dataset 585","Diameter / Width vs. Dry Weight",0.012,"Double Linear"
"Entire Dataset 839","Width vs. Fresh Weight",0.825,"Double Log"
"Entire Dataset 839","Width vs. Fresh Weight",0.776,"Double Linear"
"Entire Dataset 839","Height vs. Fresh Weight",0.457,"Double Log"
"Entire Dataset 839","Height vs. Fresh Weight",0.471,"Double Linear"
"Entire Dataset 839","Diameter vs. Fresh Weight",0.86,"Double Log"
"Entire Dataset 839","Diameter vs. Fresh Weight",0.844,"Double Linear"
"Entire Dataset 839","Thickness vs. Fresh Weight",0.19,"Double Log"
"Entire Dataset 839","Thickness vs. Fresh Weight",0.15,"Double Linear"
"Entire Dataset 839","Diameter / Width vs. Fresh Weight",0.015,"Double Log"
"Entire Dataset 839","Diameter / Width vs. Fresh Weight",0.003,"Double Linear"
"Entire Dataset 839","Width vs. Height",0.446,"Double Log"
"Entire Dataset 839","Width vs. Height",0.472,"Double Linear"
"Entire Dataset 839","Width vs. Diameter",0.848,"Double Log"
"Entire Dataset 839","Width vs. Diameter",0.839,"Double Linear"
"Entire Dataset 839","Width vs. Thickness",0.042,"Double Log"
"Entire Dataset 839","Width vs. Thickness",0.027,"Double Linear"
"Entire Dataset 839","Height vs. Diameter",0.676,"Double Log"
"Entire Dataset 839","Height vs. Diameter",0.698,"Double Linear"
"Entire Dataset 839","Height vs. Thickness",0.025,"Double Log"
"Entire Dataset 839","Height vs. Thickness",0.029,"Double Linear"
"Entire Dataset 839","Diameter vs. Thickness",0.018,"Double Log"
"Entire Dataset 839","Diameter vs. Thickness",0.008,"Double Linear"
"Entire Dataset 839","Diameter / Width vs. Dry Weight",0.036,"Double Log"
"Entire Dataset 839","Diameter / Width vs. Dry Weight",0.087,"Double Linear"
"Entire Dataset 845","Width vs. Fresh Weight",0.887,"Double Log"
"Entire Dataset 845","Width vs. Fresh Weight",0.855,"Double Linear"
"Entire Dataset 845","Height vs. Fresh Weight",0.77,"Double Log"
"Entire Dataset 845","Height vs. Fresh Weight",0.805,"Double Linear"
"Entire Dataset 845","Diameter vs. Fresh Weight",0.884,"Double Log"
"Entire Dataset 845","Diameter vs. Fresh Weight",0.887,"Double Linear"
"Entire Dataset 845","Thickness vs. Fresh Weight",0.115,"Double Log"
"Entire Dataset 845","Thickness vs. Fresh Weight",0.11,"Double Linear"
"Entire Dataset 845","Diameter / Width vs. Fresh Weight",0.041,"Double Log"
"Entire Dataset 845","Diameter / Width vs. Fresh Weight",0.072,"Double Linear"
"Entire Dataset 845","Width vs. Height",0.756,"Double Log"
"Entire Dataset 845","Width vs. Height",0.772,"Double Linear"
"Entire Dataset 845","Width vs. Diameter",0.903,"Double Log"
