"completeID","fresh_weight","width","height","diameter","thickness","accession","species","pad_id","dataset","H_div_W","FW_div_W","FW_div_D","FW_div_H","FW_div_T","D_div_W","dry_weight"
"PARL 242-4-1",352,11.6,31.7,72.6,13.1,242,"O. cochinillifera",1,"Year 1",2.73275862068966,30.3448275862069,4.84848484848485,11.1041009463722,26.8702290076336,6.25862068965517,23.0316248636859
"PARL 242-4-7",352,10.1,38.6,84.6,13.7,242,"O. cochinillifera",1,"Year 1",3.82178217821782,34.8514851485149,4.16075650118203,9.11917098445596,25.6934306569343,8.37623762376238,23.0316248636859
"PARL 242-2-3",363.1,10.7,30.5,70.5,17.3,242,"O. cochinillifera",1,"Year 1",2.85046728971963,33.9345794392523,5.15035460992908,11.9049180327869,20.9884393063584,6.58878504672897,23.7579062159215
"PARL 242-1-5",366.9,10.5,34,74.5,17.1,242,"O. cochinillifera",1,"Year 1",3.23809523809524,34.9428571428571,4.9248322147651,10.7911764705882,21.4561403508772,7.09523809523809,24.0065430752454
"PARL 242-3-5",374.7,12.8,32.9,74.6,13.3,242,"O. cochinillifera",1,"Year 1",2.5703125,29.2734375,5.02278820375335,11.3890577507599,28.1729323308271,5.828125,24.5169029443839
"PARL 242-1-4",422.1,13.4,33.1,73.9,16.3,242,"O. cochinillifera",1,"Year 1",2.47014925373134,31.5,5.71177266576455,12.7522658610272,25.8957055214724,5.51492537313433,27.618320610687
"PARL 242-2-1",446.6,14.2,33.4,76.6,16.1,242,"O. cochinillifera",1,"Year 1",2.35211267605634,31.4507042253521,5.83028720626632,13.3712574850299,27.7391304347826,5.3943661971831,29.2213740458015
"PARL 242-3-6",486.4,12.3,41.9,91.8,15.8,242,"O. cochinillifera",1,"Year 1",3.40650406504065,39.5447154471545,5.29847494553377,11.6085918854415,30.7848101265823,7.46341463414634,31.8255179934569
"PARL 242-1-1",515.2,14.4,33.1,75.6,17.3,242,"O. cochinillifera",1,"Year 1",2.29861111111111,35.7777777777778,6.81481481481482,15.5649546827795,29.7803468208092,5.25,33.7099236641221
"PARL 242-3-7",581.4,13.1,44.7,98.3,13.7,242,"O. cochinillifera",1,"Year 1",3.41221374045802,44.381679389313,5.91454730417091,13.006711409396,42.4379562043796,7.50381679389313,38.041439476554
"PARL 242-3-3",627.2,16.3,33.6,80.5,15.6,242,"O. cochinillifera",1,"Year 1",2.06134969325153,38.478527607362,7.79130434782609,18.6666666666667,40.2051282051282,4.93865030674847,41.0381679389313
