,completeID,fresh_weight,width,height,diameter,thickness,accession,species,H_div_W,FW_div_W,FW_div_D,FW_div_H,FW_div_T,D_div_W,Theo_Area,PartRatio,Pade_Peri,Pade_Derived_Diam,Area,dry_proportion,water_proportion,dry_weight,water_weight
45,PARL 246-2-5,295.5,10.8,25.4,60.2,19.5,PARL 246,O. ficus-indica,2.351851852,27.36111111,4.908637874,11.63385827,15.15384615,5.574074074,215.4504242,0.162662922,118.399401,37.68769985,209.728,0.043106945,0.956893055,12.73810225,282.7618978
46,PARL 246-2-6,807.8,20.2,37.6,92.1,13.7,PARL 246,O. ficus-indica,1.861386139,39.99009901,8.770901194,21.48404255,58.96350365,4.559405941,596.5256131,0.090623915,185.7218615,59.1171046,551.318,0.058363495,0.941636505,47.14603126,760.6539687
47,PARL 246-2-7,366,12.2,34.2,77.8,15.4,PARL 246,O. ficus-indica,2.803278689,30,4.70437018,10.70175439,23.76623377,6.37704918,327.6995297,0.224806778,154.0843773,49.04658059,318.554,0.070601998,0.929398002,25.84033127,340.1596687
48,PARL 246-2-8,416.4,13.4,36.4,79.3,13,PARL 246,O. ficus-indica,2.71641791,31.07462687,5.250945776,11.43956044,32.03076923,5.917910448,383.0858082,0.213303011,164.911686,52.49302001,341.545,0.071347243,0.928652757,29.70899199,386.691008
49,PARL 246-3-1,447,16.6,30.4,73.4,14.4,PARL 246,O. ficus-indica,1.831325301,26.92771084,6.089918256,14.70394737,31.04166667,4.421686747,396.3433292,0.086210955,150.8547461,48.01855707,346.133,0.06146506,0.93853494,27.47488182,419.5251182
50,PARL 246-3-2,292.5,14.3,23.6,56.4,12.7,PARL 246,O. ficus-indica,1.65034965,20.45454545,5.186170213,12.3940678,23.03149606,3.944055944,265.0561722,0.060212613,120.8655339,38.47269434,246.713,0.069416093,0.930583907,20.3042072,272.1957928
51,PARL 246-3-3,388.3,13.5,32.6,74.7,13,PARL 246,O. ficus-indica,2.414814815,28.76296296,5.198125837,11.91104294,29.86923077,5.533333333,345.6537317,0.17165833,151.1123003,48.10053911,307.079,0.066147711,0.933852289,25.68515618,362.6148438
52,PARL 246-3-4,503.7,16.4,35.2,83,13.2,PARL 246,O. ficus-indica,2.146341463,30.71341463,6.068674699,14.30965909,38.15909091,5.06097561,453.3946518,0.132744426,167.5320186,53.32709776,414.577,0.05541976,0.94458024,27.91493311,475.7850669
53,PARL 246-3-5,417.9,16.6,28.1,70.1,13.2,PARL 246,O. ficus-indica,1.692771084,25.1746988,5.961483595,14.87188612,31.65909091,4.222891566,366.3568273,0.06618821,142.7626551,45.4427645,337.507,0.055641722,0.944358278,23.25267562,394.6473244
54,PARL 246-3-6,604.6,18.4,33.5,81.9,15,PARL 246,O. ficus-indica,1.820652174,32.85869565,7.382173382,18.04776119,40.30666667,4.451086957,484.1194279,0.084648483,166.5177635,53.00425035,439.32,0.062256134,0.937743866,37.64005862,566.9599414
55,PARL 246-3-7,459.5,13.7,32.7,78.3,14.2,PARL 246,O. ficus-indica,2.386861314,33.54014599,5.868454662,14.05198777,32.35915493,5.715328467,351.8505232,0.16767613,151.947271,48.36631853,334.573,0.060719833,0.939280167,27.90076326,431.5992367
56,PARL 246-3-8,452.7,15.4,28.6,68.3,16.7,PARL 246,O. ficus-indica,1.857142857,29.3961039,6.628111274,15.82867133,27.10778443,4.435064935,345.9207671,0.09,141.3581509,44.99569693,303.164,0.062859924,0.937140076,28.45668759,424.2433124
57,PARL 246-4-1,790.7,17.6,36,85,15.8,PARL 246,O. ficus-indica,2.045454545,44.92613636,9.302352941,21.96388889,50.0443038,4.829545455,497.6282763,0.117843618,173.3879166,55.19108798,431.254,0.053774379,0.946225621,42.51940148,748.1805985
58,PARL 246-4-2,434.4,15.6,25.8,64.8,19.1,PARL 246,O. ficus-indica,1.653846154,27.84615385,6.703703704,16.8372093,22.7434555,4.153846154,316.1070528,0.060701533,132.043279,42.03068112,264.572,0.062802871,0.937197129,27.28156716,407.1184328
59,PARL 246-4-3,300.8,13.2,27.4,64.1,13.9,PARL 246,O. ficus-indica,2.075757576,22.78787879,4.692667707,10.97810219,21.64028777,4.856060606,284.0628077,0.122327647,131.480107,41.8514179,250.572,0.085011663,0.914988337,25.57150823,275.2284918
60,PARL 246-4-4,341.4,11.6,30.1,67.3,14,PARL 246,O. ficus-indica,2.594827586,29.43103448,5.072808321,11.34219269,24.38571429,5.801724138,274.2296227,0.19682096,137.5339165,43.7784053,243.529,0.074021284,0.925978716,25.27086636,316.1291336
61,PARL 246-4-5,530.7,15.2,29.5,72.1,19.4,PARL 246,O. ficus-indica,1.940789474,34.91447368,7.360610264,17.98983051,27.3556701,4.743421053,352.1725365,0.102342737,144.0457542,45.85118763,324.704,0.054129147,0.945870853,28.72633831,501.9736617
62,PARL 246-4-6,336.1,14.1,30.5,71.6,10.7,PARL 246,O. ficus-indica,2.163120567,23.83687943,4.694134078,11.01967213,31.41121495,5.078014184,337.7604802,0.135212854,144.8927969,46.12080969,305.962,0.079318409,0.920681591,26.65891726,309.4410827
63,PARL 246-4-7,479.3,12.8,34.2,76.7,16.8,PARL 246,O. ficus-indica,2.671875,37.4453125,6.249022164,14.01461988,28.5297619,5.9921875,343.8159,0.207315527,155.4122198,49.46924599,303.799,0.064103481,0.935896519,30.72479844,448.5752016
64,PARL 246-4-8,534.6,16.2,28.1,70.5,15.7,PARL 246,O. ficus-indica,1.734567901,33,7.582978723,19.02491103,34.05095541,4.351851852,357.5289519,0.072158329,141.6946999,45.10282381,332.518,0.064786381,0.935213619,34.63479928,499.9652007
65,PARL 319-1-1,1591.2,19.2,52.3,12.3,20.3,PARL 319,O. cochinillifera,2.723958333,82.875,129.3658537,30.42447419,78.38423645,0.640625,788.6654198,0.214310724,236.8290262,75.38502037,1016.323,0.054836856,0.945163144,87.25640527,1503.943595
66,PARL 319-1-2,881.1,15.1,37.6,85.8,23.7,PARL 319,O. cochinillifera,2.490066225,58.35099338,10.26923077,23.43351064,37.17721519,5.682119205,445.9176613,0.182282009,173.1967317,55.13023195,558.622,0.062392429,0.937607571,54.97396919,826.1260308
67,PARL 319-1-3,673.2,13.3,39.1,89,19.2,PARL 319,O. cochinillifera,2.939849624,50.61654135,7.564044944,17.2173913,35.0625,6.691729323,408.4306069,0.242424684,174.7573288,55.62698545,511.394,0.07818309,0.92181691,52.63285619,620.5671438
68,PARL 319-1-4,627.4,12.2,35.2,81.9,21,PARL 319,O. cochinillifera,2.885245902,51.42622951,7.660561661,17.82386364,29.87619048,6.713114754,337.2813873,0.235450159,157.8138549,50.23371018,444.983,0.070705546,0.929294454,44.36065956,583.0393404
69,PARL 319-1-5,1204.7,14.4,17.5,102.8,25.5,PARL 319,O. cochinillifera,1.215277778,83.65972222,11.7188716,68.84,47.24313725,7.138888889,197.9203372,0.009443697,100.4535499,31.97535804,768,0.066042499,0.933957501,79.56139855,1125.138601
70,PARL 319-1-6,920.5,16.5,42,96.6,20,PARL 319,O. cochinillifera,2.545454545,55.78787879,9.528985507,21.91666667,46.025,5.854545455,544.2809272,0.190006575,192.6220155,61.31349182,692.703,0.057238441,0.942761559,52.68798494,867.8120151
71,PARL 319-1-7,1227.9,15.5,43.8,98.6,27.6,PARL 319,O. cochinillifera,2.825806452,79.21935484,12.45334686,28.03424658,44.48913043,6.361290323,533.2068131,0.227752674,197.0639301,62.72739716,713.856,0.062948844,0.937051156,77.29488555,1150.605114
