,completeID,fresh_weight,width,height,diameter,thickness,accession,species,D_div_W,mean_freshweight,SEM_mean_fresh,mean_dryweight,SEM_mean_dry,Area,computed_dry_weight,Theo_Area,PartRatio,Pade_Peri,Pade_Derived_Diam
46,PARL 246-2-6,807.8,20.2,37.6,92.1,13.7,246,O. ficus-indica,4.559405941,8.48,0.94,0.49,0.07,551.318,46.67712264,596.5256131,0.090623915,185.7218615,59.1171046
47,PARL 246-2-7,366,12.2,34.2,77.8,15.4,246,O. ficus-indica,6.37704918,8.48,0.94,0.49,0.07,318.554,21.14858491,327.6995297,0.224806778,154.0843773,49.04658059
48,PARL 246-2-8,416.4,13.4,36.4,79.3,13,246,O. ficus-indica,5.917910448,8.48,0.94,0.49,0.07,341.545,24.06084906,383.0858082,0.213303011,164.911686,52.49302001
49,PARL 246-3-1,447,16.6,30.4,73.4,14.4,246,O. ficus-indica,4.421686747,8.48,0.94,0.49,0.07,346.133,25.82900943,396.3433292,0.086210955,150.8547461,48.01855707
50,PARL 246-3-2,292.5,14.3,23.6,56.4,12.7,246,O. ficus-indica,3.944055944,8.48,0.94,0.49,0.07,246.713,16.90153302,265.0561722,0.060212613,120.8655339,38.47269434
51,PARL 246-3-3,388.3,13.5,32.6,74.7,13,246,O. ficus-indica,5.533333333,8.48,0.94,0.49,0.07,307.079,22.43714623,345.6537317,0.17165833,151.1123003,48.10053911
52,PARL 246-3-4,503.7,16.4,35.2,83,13.2,246,O. ficus-indica,5.06097561,8.48,0.94,0.49,0.07,414.577,29.1053066,453.3946518,0.132744426,167.5320186,53.32709776
53,PARL 246-3-5,417.9,16.6,28.1,70.1,13.2,246,O. ficus-indica,4.222891566,8.48,0.94,0.49,0.07,337.507,24.14752358,366.3568273,0.06618821,142.7626551,45.4427645
54,PARL 246-3-6,604.6,18.4,33.5,81.9,15,246,O. ficus-indica,4.451086957,8.48,0.94,0.49,0.07,439.32,34.93561321,484.1194279,0.084648483,166.5177635,53.00425035
55,PARL 246-3-7,459.5,13.7,32.7,78.3,14.2,246,O. ficus-indica,5.715328467,8.48,0.94,0.49,0.07,334.573,26.55129717,351.8505232,0.16767613,151.947271,48.36631853
56,PARL 246-3-8,452.7,15.4,28.6,68.3,16.7,246,O. ficus-indica,4.435064935,8.48,0.94,0.49,0.07,303.164,26.15837264,345.9207671,0.09,141.3581509,44.99569693
57,PARL 246-4-1,790.7,17.6,36,85,15.8,246,O. ficus-indica,4.829545455,8.48,0.94,0.49,0.07,431.254,45.68903302,497.6282763,0.117843618,173.3879166,55.19108798
58,PARL 246-4-2,434.4,15.6,25.8,64.8,19.1,246,O. ficus-indica,4.153846154,8.48,0.94,0.49,0.07,264.572,25.1009434,316.1070528,0.060701533,132.043279,42.03068112
59,PARL 246-4-3,300.8,13.2,27.4,64.1,13.9,246,O. ficus-indica,4.856060606,8.48,0.94,0.49,0.07,250.572,17.38113208,284.0628077,0.122327647,131.480107,41.8514179
60,PARL 246-4-4,341.4,11.6,30.1,67.3,14,246,O. ficus-indica,5.801724138,8.48,0.94,0.49,0.07,243.529,19.72712264,274.2296227,0.19682096,137.5339165,43.7784053
61,PARL 246-4-5,530.7,15.2,29.5,72.1,19.4,246,O. ficus-indica,4.743421053,8.48,0.94,0.49,0.07,324.704,30.66544811,352.1725365,0.102342737,144.0457542,45.85118763
62,PARL 246-4-6,336.1,14.1,30.5,71.6,10.7,246,O. ficus-indica,5.078014184,8.48,0.94,0.49,0.07,305.962,19.42087264,337.7604802,0.135212854,144.8927969,46.12080969
63,PARL 246-4-7,479.3,12.8,34.2,76.7,16.8,246,O. ficus-indica,5.9921875,8.48,0.94,0.49,0.07,303.799,27.69540094,343.8159,0.207315527,155.4122198,49.46924599
64,PARL 246-4-8,534.6,16.2,28.1,70.5,15.7,246,O. ficus-indica,4.351851852,8.48,0.94,0.49,0.07,332.518,30.89080189,357.5289519,0.072158329,141.6946999,45.10282381
65,PARL 319-1-1,1591.2,19.2,52.3,12.3,20.3,319,O. cochinillifera,0.640625,8.73,0.94,0.6,0.07,1016.323,109.3608247,788.6654198,0.214310724,236.8290262,75.38502037
66,PARL 319-1-2,881.1,15.1,37.6,85.8,23.7,319,O. cochinillifera,5.682119205,8.73,0.94,0.6,0.07,558.622,60.55670103,445.9176613,0.182282009,173.1967317,55.13023195
67,PARL 319-1-3,673.2,13.3,39.1,89,19.2,319,O. cochinillifera,6.691729323,8.73,0.94,0.6,0.07,511.394,46.26804124,408.4306069,0.242424684,174.7573288,55.62698545
68,PARL 319-1-4,627.4,12.2,35.2,81.9,21,319,O. cochinillifera,6.713114754,8.73,0.94,0.6,0.07,444.983,43.12027491,337.2813873,0.235450159,157.8138549,50.23371018
69,PARL 319-1-5,1204.7,14.4,17.5,102.8,25.5,319,O. cochinillifera,7.138888889,8.73,0.94,0.6,0.07,768,82.79725086,197.9203372,0.009443697,100.4535499,31.97535804
70,PARL 319-1-6,920.5,16.5,42,96.6,20,319,O. cochinillifera,5.854545455,8.73,0.94,0.6,0.07,692.703,63.26460481,544.2809272,0.190006575,192.6220155,61.31349182
71,PARL 319-1-7,1227.9,15.5,43.8,98.6,27.6,319,O. cochinillifera,6.361290323,8.73,0.94,0.6,0.07,713.856,84.39175258,533.2068131,0.227752674,197.0639301,62.72739716
72,PARL 319-1-8,830.5,14.6,44.6,99.8,21,319,O. cochinillifera,6.835616438,8.73,0.94,0.6,0.07,643.573,57.0790378,511.4198681,0.256802411,198.1272491,63.0658621
73,PARL 319-2-1,1050.7,17.3,45.2,100.5,23.5,319,O. cochinillifera,5.809248555,8.73,0.94,0.6,0.07,555.725,72.21305842,614.1499479,0.19927296,206.2595447,65.65445221
74,PARL 319-2-2,971.5,16.4,43.2,98.9,22.2,319,O. cochinillifera,6.030487805,8.73,0.94,0.6,0.07,536.166,66.76975945,556.4388908,0.202198099,196.8297396,62.65285202
75,PARL 319-2-3,1210.2,19.3,44.8,103.2,24.7,319,O. cochinillifera,5.347150259,8.73,0.94,0.6,0.07,614.857,83.17525773,679.086668,0.1582575,209.42546,66.66219435
76,PARL 319-2-4,1230.7,15.6,52.8,115.9,23.1,319,O. cochinillifera,7.429487179,8.73,0.94,0.6,0.07,604.193,84.58419244,646.9167592,0.295783318,231.0919852,73.55886351
77,PARL 319-2-5,1002.5,12.4,47.4,102,32.1,319,O. cochinillifera,8.225806452,8.73,0.94,0.6,0.07,407.113,68.90034364,461.6256245,0.34255769,204.3328047,65.04115181
78,PARL 319-2-6,1134.4,16.4,48.8,107.4,26.1,319,O. cochinillifera,6.548780488,8.73,0.94,0.6,0.07,582.961,77.96563574,628.5698581,0.246941925,217.6852422,69.29136465
79,PARL 319-2-7,1661.8,17.8,52.6,114.8,26.7,319,O. cochinillifera,6.449438202,8.73,0.94,0.6,0.07,701.061,114.2130584,735.3525924,0.244350465,234.8985138,74.77051919
80,PARL 319-2-8,1285.2,16.2,47.3,107.4,29.1,319,O. cochinillifera,6.62962963,8.73,0.94,0.6,0.07,592.967,88.32989691,601.8191967,0.23986856,211.6448325,67.36864256
81,PARL 319-3-1,1420.3,17.2,56.1,123.4,20.9,319,O. cochinillifera,7.174418605,8.73,0.94,0.6,0.07,698.025,97.61512027,757.8463958,0.281638001,246.7995712,78.55874343
82,PARL 319-3-2,1259.9,19.9,48.5,111.3,23.6,319,O. cochinillifera,5.592964824,8.73,0.94,0.6,0.07,712.356,86.59106529,758.0270374,0.174831572,224.384424,71.42378047
83,PARL 319-3-3,942.8,13.8,51.7,111.8,21.3,319,O. cochinillifera,8.101449275,8.73,0.94,0.6,0.07,530.516,64.79725086,560.3501737,0.334807995,223.3913788,71.10768435
84,PARL 319-3-4,1350,16.1,51.3,115.3,27.9,319,O. cochinillifera,7.161490683,8.73,0.94,0.6,0.07,610.738,92.78350515,648.6839051,0.272750486,226.4457588,72.07992372
85,PARL 319-3-5,1221.7,17.7,43.5,105.9,18.7,319,O. cochinillifera,5.983050847,8.73,0.94,0.6,0.07,659.612,83.96563574,604.7173159,0.177720108,200.9071265,63.95072456
86,PARL 319-3-6,961.6,15.3,46.1,104,25.1,319,O. cochinillifera,6.797385621,8.73,0.94,0.6,0.07,528.504,66.08934708,553.9648866,0.251631317,205.2319689,65.32736466
87,PARL 319-3-7,1253.9,17.1,46.6,105.5,22.1,319,O. cochinillifera,6.169590643,8.73,0.94,0.6,0.07,664.208,86.17869416,625.8523805,0.214469316,211.0012978,67.16379909
88,PARL 319-3-8,1310.2,18.7,48.6,108.2,24.7,319,O. cochinillifera,5.786096257,8.73,0.94,0.6,0.07,659.167,90.04810997,713.7855589,0.197384137,221.9977676,70.66408413
89,PARL 319-4-1,1220.6,15.4,54.1,117.6,29.2,319,O. cochinillifera,7.636363636,8.73,0.94,0.6,0.07,606.361,83.89003436,654.3466259,0.310064696,235.6211742,75.00054916
90,PARL 319-4-2,1009.1,17.1,46.4,105.5,20.6,319,O. cochinillifera,6.169590643,8.73,0.94,0.6,0.07,575.986,69.35395189,623.1663188,0.212905946,210.2585814,66.92738513
91,PARL 319-4-3,1064.7,16.4,47.2,106,20.1,319,O. cochinillifera,6.463414634,8.73,0.94,0.6,0.07,587.955,73.17525773,607.9610103,0.234523951,211.7024814,67.38699277
92,PARL 319-4-4,729.7,14.1,38.6,78,23.6,319,O. cochinillifera,5.531914894,8.73,0.94,0.6,0.07,393.432,50.15120275,427.4608044,0.216127952,174.6353129,55.58814658
93,PARL 319-4-5,495.2,11,35.1,80,21.1,319,O. cochinillifera,7.272727273,8.73,0.94,0.6,0.07,297.914,34.03436426,303.2422309,0.273295345,154.9040001,49.30747465
94,PARL 319-4-6,974.7,12.2,50.2,106.6,21.3,319,O. cochinillifera,8.737704918,8.73,0.94,0.6,0.07,468.784,66.98969072,481.0092512,0.37084977,214.674608,68.33305003
95,PARL 319-4-7,1139.2,18.6,41.4,101.1,23.1,319,O. cochinillifera,5.435483871,8.73,0.94,0.6,0.07,609.833,78.29553265,604.7880017,0.1444,195.3639612,62.18628027
96,PARL 319-4-8,1410.1,16.2,61.3,123.6,20.7,319,O. cochinillifera,7.62962963,8.73,0.94,0.6,0.07,689.465,96.91408935,779.9475001,0.338648907,264.5630725,84.21304149
97,PARL 325-1-1,513.6,17.8,28.4,66.4,16,325,O. crassa,3.730337079,10.23,1,0.68,0.07,460.352,34.13958944,397.0344796,0.052641442,147.0580644,46.81003574
98,PARL 325-1-2,1813.7,23.9,48.7,113.3,25,325,O. crassa,4.740585774,10.23,1,0.68,0.07,821.59,120.5587488,914.1484843,0.116689054,234.7832089,74.7338165
99,PARL 325-1-3,1211.5,18.2,45.2,100.3,18,325,O. crassa,5.510989011,10.23,1,0.68,0.07,589.758,80.52981427,646.0999451,0.181363134,208.3150425,66.30873746
100,PARL 325-1-4,1390,24.3,35.6,92.8,22,325,O. crassa,3.818930041,10.23,1,0.68,0.07,691.811,92.39491691,679.4322432,0.035587972,189.8594059,60.43412589
101,PARL 325-1-5,1284.8,22.1,42.7,103.6,20,325,O. crassa,4.687782805,10.23,1,0.68,0.07,740.908,85.40215054,741.1566849,0.101061195,208.7519217,66.44780043
102,PARL 325-1-6,1781.3,26.4,44.9,108.6,29,325,O. crassa,4.113636364,10.23,1,0.68,0.07,879.41,118.4050831,930.979567,0.067323145,227.7817122,72.50517089
103,PARL 325-1-7,1251.5,23.2,37.1,92.1,22,325,O. crassa,3.969827586,10.23,1,0.68,0.07,665.612,83.1886608,676.0079072,0.053136749,191.9630374,61.10373258
104,PARL 325-1-8,1670.5,21.2,46.8,105.8,28,325,O. crassa,4.990566038,10.23,1,0.68,0.07,794.164,111.0400782,779.2406418,0.141730104,221.2672044,70.43153866
105,PARL 325-2-1,1926.8,29.2,43.6,113.2,19.5,325,O. crassa,3.876712329,10.23,1,0.68,0.07,917.977,128.0766373,999.9061098,0.039125709,230.9505599,73.51384642
106,PARL 325-2-2,1667.6,27.4,42,104.4,19.8,325,O. crassa,3.810218978,10.23,1,0.68,0.07,832.178,110.8473118,903.8362064,0.044257489,220.4456042,70.17001519
107,PARL 325-2-3,1693.9,23.2,40.5,101.5,27.4,325,O. crassa,4.375,10.23,1,0.68,0.07,735.817,112.5955034,737.9601143,0.073758715,203.8269213,64.88012411
108,PARL 325-2-4,835.2,17.3,35.1,82.4,22.2,325,O. crassa,4.76300578,10.23,1,0.68,0.07,427.856,55.51671554,476.9173268,0.11539246,169.403683,53.92286707
109,PARL 325-2-5,1165.9,20.5,43.2,100.5,22.9,325,O. crassa,4.902439024,10.23,1,0.68,0.07,658.074,77.49872923,695.5486135,0.126990973,206.5248725,65.73890865
110,PARL 325-2-6,1611.4,26.6,44.2,108.8,21.2,325,O. crassa,4.090225564,10.23,1,0.68,0.07,822.722,107.1116325,923.4083287,0.06179578,225.8744675,71.89807606
111,PARL 325-2-7,1239.9,22.8,36.4,91.3,22.2,325,O. crassa,4.004385965,10.23,1,0.68,0.07,610.439,82.41759531,651.8176438,0.052775749,188.4443258,59.98369191
112,PARL 325-2-8,2069.6,25,43.5,108,27.3,325,O. crassa,4.32,10.23,1,0.68,0.07,873.882,137.5687195,854.1205027,0.072939421,219.1414424,69.75488759
113,PARL 325-3-1,1826.1,26.1,48.4,117.3,19.6,325,O. crassa,4.494252874,10.23,1,0.68,0.07,873.507,121.3829912,992.1463759,0.089597766,239.321242,76.17831732
114,PARL 325-3-2,2529.6,28.5,48.8,118.7,27.7,325,O. crassa,4.164912281,10.23,1,0.68,0.07,1003.913,168.1454545,1092.331766,0.06896569,247.0504714,78.63860743
115,PARL 325-3-3,1957.9,25.4,44.6,110.7,27,325,O. crassa,4.358267717,10.23,1,0.68,0.07,876.808,130.1438905,889.7304554,0.075232653,224.0674379,71.32288067
116,PARL 325-3-4,2055.9,26.3,43.6,112.4,20.5,325,O. crassa,4.273764259,10.23,1,0.68,0.07,921.74,136.6580645,900.600366,0.06125448,222.973231,70.97458377
117,PARL 325-3-5,1440.5,19.5,46.4,109.6,25,325,O. crassa,5.620512821,10.23,1,0.68,0.07,703.941,95.75171065,710.6282582,0.166622532,215.7486747,68.67493609
118,PARL 325-3-6,1966.4,25.4,40,106.4,26.4,325,O. crassa,4.188976378,10.23,1,0.68,0.07,860.859,130.7088954,797.964534,0.049836808,208.0281032,66.21740186
119,PARL 325-3-7,1256,18.3,39.1,94.6,25.8,325,O. crassa,5.169398907,10.23,1,0.68,0.07,586.023,83.48778104,561.9759479,0.131311537,186.2974183,59.30031002
120,PARL 325-3-8,1758.2,25.3,42.8,105.6,26.3,325,O. crassa,4.173913043,10.23,1,0.68,0.07,804.08,116.8695992,850.4605473,0.066036169,217.489267,69.22898381
121,PARL 325-4-1,1272.3,20.8,40.7,96.3,22.4,325,O. crassa,4.629807692,10.23,1,0.68,0.07,613.783,84.571261,664.8866692,0.104702228,198.299258,63.12061423
122,PARL 325-4-2,1678.5,22.3,40.6,99.4,39.8,325,O. crassa,4.457399103,10.23,1,0.68,0.07,690.986,111.5718475,711.0837892,0.084644918,201.8103677,64.23823518
123,PARL 325-4-3,1226.1,23.8,39.7,101.3,18.3,325,O. crassa,4.256302521,10.23,1,0.68,0.07,723.111,81.50029326,742.0913087,0.062697005,202.6304556,64.49927727
124,PARL 325-4-4,1250.7,23.3,32.1,91.6,18.9,325,O. crassa,3.931330472,10.23,1,0.68,0.07,668.276,83.13548387,587.4228483,0.025231659,175.1438315,55.75001307
125,PARL 325-4-5,1244.2,23.9,38.8,94.4,23.9,325,O. crassa,3.949790795,10.23,1,0.68,0.07,641.542,82.70342131,728.3154249,0.056472557,199.7687763,63.58837645
126,PARL 325-4-6,1191.4,19.7,42.9,98.9,23.1,325,O. crassa,5.020304569,10.23,1,0.68,0.07,591.612,79.19374389,663.7635498,0.13734957,203.4766495,64.76862913
127,PARL 325-4-7,1490.1,20.4,46.8,106,23.4,325,O. crassa,5.196078431,10.23,1,0.68,0.07,666.627,99.04868035,749.8353346,0.154336735,219.3424545,69.81887171
128,PARL 325-4-8,2437.8,29.8,48.1,122.8,25.6,325,O. crassa,4.120805369,10.23,1,0.68,0.07,1073.268,162.0434018,1125.774019,0.05518579,248.1182818,78.97850203
129,PARL 326-1-1,1298.5,19.4,33.6,83.1,32.7,326,O. ficus-indica,4.283505155,5.76,0.94,0.49,0.07,507.246,110.4626736,511.9539388,0.071783553,169.506131,53.95547728
130,PARL 326-1-2,455.9,14,25.2,62.7,20.4,326,O. ficus-indica,4.478571429,5.76,0.94,0.49,0.07,286.875,38.78315972,277.088472,0.081632653,125.6767961,40.00416667
131,PARL 326-1-3,542.4,14.6,27.9,68.1,21.2,326,O. ficus-indica,4.664383562,5.76,0.94,0.49,0.07,315.331,46.14166667,319.9240879,0.09793218,136.8071178,43.54705809
132,PARL 326-1-4,908.7,17.1,32.3,78.9,26.6,326,O. ficus-indica,4.614035088,5.76,0.94,0.49,0.07,427.512,77.30260417,433.7989676,0.094674556,158.890186,50.57631702
133,PARL 326-1-5,1163,18.4,34.4,83.8,26.3,326,O. ficus-indica,4.554347826,5.76,0.94,0.49,0.07,513.085,98.93576389,497.1256215,0.091827365,169.7064516,54.01924129
134,PARL 326-1-6,1445.3,19.3,38.9,94.7,29.7,326,O. ficus-indica,4.906735751,5.76,0.94,0.49,0.07,600.335,122.9508681,589.6533791,0.113413871,188.0626797,59.86221017
135,PARL 326-1-7,855.3,17.4,28.1,72.6,25.5,326,O. ficus-indica,4.172413793,5.76,0.94,0.49,0.07,392.06,72.75989583,384.012578,0.0553025,144.9256612,46.13127072
136,PARL 326-1-8,1041.3,17.2,35.5,82.6,25.9,326,O. ficus-indica,4.802325581,5.76,0.94,0.49,0.07,473.683,88.5828125,479.5641186,0.120581574,170.591645,54.30100709
137,PARL 326-2-1,892.1,18.2,34.8,82.8,20.3,326,O. ficus-indica,4.549450549,5.76,0.94,0.49,0.07,478.74,75.89045139,497.4397808,0.098098968,170.6135543,54.30798107
138,PARL 326-2-2,744.8,16.4,28.7,69.1,26.8,326,O. ficus-indica,4.213414634,5.76,0.94,0.49,0.07,362.016,63.35972222,369.6712075,0.074380165,144.3329625,45.94260885
139,PARL 326-2-3,893.1,17.5,30.5,80.4,21.6,326,O. ficus-indica,4.594285714,5.76,0.94,0.49,0.07,474.086,75.97552083,419.2062697,0.073350694,153.5746173,48.88431896
140,PARL 326-2-4,592,15.4,28.2,66.1,21.3,326,O. ficus-indica,4.292207792,5.76,0.94,0.49,0.07,322.372,50.36111111,341.0827144,0.086188031,139.9410559,44.54462156
