completeID,dry_proportion,water_proportion
PARL 246-3-3,0.066147711,0.933852289
PARL 246-3-4,0.05541976,0.94458024
PARL 246-3-5,0.055641722,0.944358278
PARL 246-3-6,0.062256134,0.937743866
PARL 246-3-7,0.060719833,0.939280167
PARL 246-3-8,0.062859924,0.937140076
PARL 580-4-1,0.067827421,0.932172579
PARL 580-4-2,0.061200281,0.938799719
PARL 580-4-3,0.048363742,0.951636258
PARL 580-4-4,0.060716355,0.939283645
PARL 580-4-5,0.064229047,0.935770953
PARL 580-4-6,0.09806918,0.90193082
PARL 580-4-7,0.077570185,0.922429815
PARL 580-4-8,0.05958408,0.94041592
PARL 854-4-1,0.100613999,0.899386001
PARL 854-4-2,0.060761884,0.939238116
PARL 854-4-3,0.223329458,0.776670542
PARL 854-4-4,0.106760599,0.893239401
PARL 854-4-5,0.105918894,0.894081106
PARL 854-4-6,0.094161116,0.905838884
PARL 854-4-7,0.063433158,0.936566842
PARL 854-4-8,0.080644729,0.919355271
PARL 584-4-1,NaN,NaN
PARL 584-4-2,0.0654954,0.9345046
PARL 584-4-3,0.121738827,0.878261173
PARL 584-4-4,0.064630232,0.935369768
PARL 584-4-5,0.094083374,0.905916626
PARL 584-4-6,0.058001734,0.941998266
PARL 584-4-7,0.083657968,0.916342032
PARL 584-4-8,0.05518473,0.94481527
PARL 585-4-1,0.072012978,0.927987022
PARL 585-4-2,0.062903089,0.937096911
PARL 585-4-3,0.073108183,0.926891817
PARL 585-4-4,0.08849239,0.91150761
PARL 585-4-5,0.084951335,0.915048665
PARL 585-4-6,0.083040297,0.916959703
PARL 585-4-7,0.189092377,0.810907623
PARL 585-4-8,0.090779709,0.909220291
PARL 839-4-1,0.077641003,0.922358997
PARL 839-4-2,0.107624345,0.892375655
PARL 839-4-3,0.093197213,0.906802787
PARL 839-4-4,0.09914049,0.90085951
PARL 839-4-5,0.097156086,0.902843914
PARL 839-4-6,0.093450696,0.906549304
PARL 839-4-7,0.098594783,0.901405217
PARL 839-4-8,0.097552734,0.902447266
PARL 325-4-1,0.068729111,0.931270889
PARL 325-4-2,0.055857119,0.944142881
PARL 325-4-3,0.092118877,0.907881123
PARL 325-4-4,NaN,NaN
