completeID,fresh_weight,width,height,diameter,thickness
PARL 319-3-6,961.6,153,461,1040,25.1
PARL 319-3-7,1253.9,171,466,1055,22.1
PARL 319-3-8,1310.2,187,486,1082,24.7
PARL 326-3-1,695.9,155,314,739,21.6
PARL 326-3-2,1097,189,366,882,22.7
PARL 326-3-3,1094.5,199,321,811,29.1
PARL 326-3-4,628.1,165,251,658,24.1
PARL 326-3-5,785,163,299,742,23.4
PARL 326-3-6,913.3,187,309,803,24.8
PARL 326-3-7,953,194,348,827,21.4
PARL 326-3-8,831.7,149,313,757,24
PARL 845-3-1,1213.5,242,354,921,21.2
PARL 845-3-2,699.4,213,339,865,16.8
PARL 845-3-3,909.4,207,281,771,27.4
PARL 845-3-4,1207.1,229,384,979,19.7
PARL 845-3-5,555.4,192,275,734,12.2
PARL 845-3-6,888.6,223,348,896,16.9
PARL 845-3-7,1191.6,224,372,948,20.6
PARL 845-3-8,1355.9,251,432,1064,19.2
PARL 582-3-1,994.9,156,373,1031,23.9
PARL 582-3-2,1075.4,171,438,997,24.2
PARL 582-3-3,852.9,136,457,1002,23
PARL 582-3-4,780.6,133,403,906,21.6
PARL 582-3-5,1150.5,179,448,1016,20.8
PARL 582-3-6,1051.2,157,456,1026,22.7
PARL 582-3-7,1050.7,154,471,1023,24.6
PARL 582-3-8,863.1,142,436,974,20.3
PARL 242-3-1,279.1,114,296,661,13.8
PARL 242-3-2,744.4,139,483,1053,17.5
PARL 242-3-3,627.2,163,336,805,15.6
PARL 242-3-4,348.9,124,309,720,11.1
PARL 242-3-5,374.7,128,329,746,13.3
PARL 242-3-6,486.4,123,419,918,15.8
PARL 242-3-7,581.4,131,447,983,13.7
PARL 242-3-8,335.2,104,337,749,14
PARL 246-3-1,447,166,304,734,14.4
PARL 246-3-2,292.5,143,236,564,12.7
PARL 246-3-3,388.3,135,326,747,13
PARL 246-3-4,503.7,164,352,830,13.2
PARL 246-3-5,417.9,166,281,701,13.2
PARL 246-3-6,604.6,184,335,819,15
PARL 246-3-7,459.5,137,327,783,14.2
PARL 246-3-8,452.7,154,286,683,16.7
PARL 580-4-1,848.7,151,364,816,25.7
PARL 580-4-2,687.4,138,389,861,21.2
PARL 580-4-3,925.9,177,422,968,20.8
PARL 580-4-4,1106.6,166,377,878,27.5
PARL 580-4-5,734.1,151,382,888,18
PARL 580-4-6,979.4,164,366,911,23.1
PARL 580-4-7,824.9,147,412,882,21.9
PARL 580-4-8,1171.3,179,422,947,26.4
PARL 854-4-1,258.5,132,239,581,13.6
PARL 854-4-2,407.3,143,249,591,20.9
PARL 854-4-3,355.9,156,208,554,21.3
