"completeID","fresh_weight","width","height","diameter","thickness","accession","species","pad_id","dataset","H_div_W","FW_div_W","FW_div_D","FW_div_H","FW_div_T","D_div_W","Area","dry_weight","Eccentricity","PartRatio","Pade_Peri","Pade_Derived_Diam","diamRatio"
"PARL 242-3-8",335.2,10.4,33.7,74.9,14,242,"O. cochinillifera",1,"Year 1",3.24038461538462,32.2307692307692,4.47530040053404,9.94658753709199,23.9428571428571,7.20192307692308,"260.032",21.9323882224646,30.4905044510386,0.279148091587353,146.989322667742,46.7881545686016,0.624674960862504
"PARL 242-4-1",352,11.6,31.7,72.6,13.1,242,"O. cochinillifera",1,"Year 1",2.73275862068966,30.3448275862069,4.84848484848485,11.1041009463722,26.8702290076336,6.25862068965517,"281.938",23.0316248636859,27.4552050473186,0.21548464176565,142.324098936381,45.30316773365,0.624010574843663
"PARL 242-4-2",792.7,14.9,39.3,89.7,19,242,"O. cochinillifera",1,"Year 1",2.63758389261745,53.2013422818792,8.83723522853958,20.1704834605598,41.7210526315789,6.02013422818792,"418.78",51.8669574700109,33.6508905852417,0.202666085701447,177.658035043173,56.5503089142283,0.630438226468543
"PARL 242-4-3",558.9,13.3,41.2,94.1,12.5,242,"O. cochinillifera",1,"Year 1",3.09774436090226,42.0225563909774,5.9394261424017,13.5655339805825,44.712,7.07518796992481,"426.091",36.5692475463468,36.9065533980583,0.262068849423449,180.970150510533,57.6045880116711,0.612163528285559
"PARL 242-4-4",268,9.1,33.2,72.7,14.2,242,"O. cochinillifera",1,"Year 1",3.64835164835165,29.4505494505495,3.68638239339752,8.07228915662651,18.8732394366197,7.98901098901099,"214.616",17.5354416575791,30.7057228915663,0.324603613723879,142.425293136804,45.3353788480692,0.623595307401227
"PARL 242-4-5",235.9,8.4,30.6,67.7,15.4,242,"O. cochinillifera",1,"Year 1",3.64285714285714,28.0833333333333,3.48449039881832,7.70915032679739,15.3181818181818,8.05952380952381,"201.525",15.4351145038168,28.2941176470588,0.324023668639053,131.297007467296,41.7931355031872,0.617328441701435
"PARL 242-4-6",270.8,9.5,32.4,71.4,12.4,242,"O. cochinillifera",1,"Year 1",3.41052631578947,28.5052631578947,3.79271708683473,8.35802469135803,21.8387096774194,7.51578947368421,"236.34",17.7186477644493,29.6145061728395,0.298705293316853,140.264038270772,44.6474300576482,0.625314146465662
"PARL 242-4-7",352,10.1,38.6,84.6,13.7,242,"O. cochinillifera",1,"Year 1",3.82178217821782,34.8514851485149,4.16075650118203,9.11917098445596,25.6934306569343,8.37623762376238,"301.354",23.0316248636859,35.9572538860104,0.342477305212739,164.635401183805,52.4050758126396,0.619445340574936
"PARL 242-4-8",1149,18.2,41.3,96.1,22.1,242,"O. cochinillifera",1,"Year 1",2.26923076923077,63.1318681318681,11.9562955254943,27.8208232445521,51.9909502262443,5.28021978021978,"543.248",75.1799345692475,33.2796610169491,0.150726643598616,192.871811422028,61.3930043418072,0.638844998353873
"PARL 246-1-1",301,13.4,21.6,56.2,14.8,246,"O. ficus-indica",1,"Year 1",1.61194029850746,22.4626865671642,5.355871886121,13.9351851851852,20.3378378378378,4.19402985074627,"229.317",17.3926886792453,13.287037037037,0.0548897959183674,111.198750416397,35.395661588823,0.629816042505747
"PARL 246-1-2",595.4,14.5,34.1,78.3,20.3,246,"O. ficus-indica",1,"Year 1",2.35172413793103,41.0620689655172,7.60408684546616,17.4604105571847,29.3300492610837,5.4,"371.976",34.4040094339623,27.9343108504399,0.162644583312164,157.939360693256,50.273659926211,0.642064622301545
"PARL 246-1-3",517,16.4,25.9,67.2,15.7,246,"O. ficus-indica",1,"Year 1",1.57926829268293,31.5243902439024,7.69345238095238,19.96138996139,32.9299363057325,4.09756097560976,"350.19",29.873820754717,15.515444015444,0.0504390009445087,134.268264447057,42.7389159742377,0.635995773426156
"PARL 246-1-4",475.9,16.3,28,70.1,15.9,246,"O. ficus-indica",1,"Year 1",1.71779141104294,29.1963190184049,6.78887303851641,16.9964285714286,29.9308176100629,4.30061349693251,"337.208",27.4989386792453,18.5110714285714,0.0697532216724671,141.179434620166,44.9388097654371,0.64106718638284
"PARL 246-1-5",769.4,19.9,33.5,82.2,16.3,246,"O. ficus-indica",1,"Year 1",1.68341708542714,38.6633165829146,9.36009732360097,22.9671641791045,47.2024539877301,4.13065326633166,"490.069",44.4582547169811,21.6788059701493,0.0648627417974723,170.007772696402,54.1151547773516,0.658335216269484
"PARL 246-1-6",361.1,12.6,31.1,71.4,12.3,246,"O. ficus-indica",1,"Year 1",2.46825396825397,28.6587301587302,5.05742296918767,11.6109324758842,29.3577235772358,5.66666666666667,"313.353",20.8654481132075,25.9951768488746,0.179217569343715,142.519782307757,45.3654556853208,0.635370527805613
"PARL 246-1-7",282.5,13.9,26.2,64.4,12.4,246,"O. ficus-indica",1,"Year 1",1.88489208633094,20.3237410071942,4.38664596273292,10.7824427480916,22.7822580645161,4.63309352517986,"285.736",16.3237028301887,18.825572519084,0.0940852357883346,128.443429696161,40.8848134876408,0.634857352292559
"PARL 246-1-8",747.7,20,31.6,82.5,14.6,246,"O. ficus-indica",1,"Year 1",1.58,37.385,9.0630303030303,23.6613924050633,51.2123287671233,4.125,"538.881",43.2043632075472,18.9417721518987,0.0505378282555135,163.791575380043,52.1364777170853,0.631957305661641
"PARL 246-2-2",426.5,15.6,30.6,73.5,15.7,246,"O. ficus-indica",1,"Year 1",1.96153846153846,27.3397435897436,5.80272108843537,13.937908496732,27.1656050955414,4.71153846153846,"332.406",24.6444575471698,22.6470588235294,0.105414066453027,148.333504241266,47.2160208522801,0.64239484152762
"PARL 246-2-3",390.5,13.1,27.6,66.9,16.2,246,"O. ficus-indica",1,"Year 1",2.10687022900763,29.8091603053435,5.83707025411061,14.1485507246377,24.1049382716049,5.10687022900763,"280.901",22.5642688679245,21.3822463768116,0.126925004074881,131.267364842523,41.7836999626698,0.624569506168457
